# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 3 486.0000 S157 S164 391 N S157->S17->3_234->S164
925.9000 M144 5000000 3 493.9000 S19 S174 391 N S19->S118->4_246->S174
1009.6000 M39 5000000 3 892.6000 S144 S2 385 N S144->S10->2_225->S2
1132.4000 M245 5000000 3 397.4000 S19 S132 393 N S19->S118->4_246->S132
1140.4000 M228 5000000 3 456.4000 S148 S151 392 N S148->S97->6T_260->S151
1156.5000 M152 5000000 2 700.5000 S28 S113 388 N S28->4_246->S113
1192.0000 M174 5000000 4 670.0000 S97 S55 388 N S97->7_275->S117->3_234->S55
1341.9000 M5 5000000 2 1326.9000 S194 S56 377 N S194->7_276->S56
1380.9000 M337 5000000 3 369.9000 S197 S141 393 N S197->S136->2_225->S141
1430.4000 M30 5000000 3 1340.4000 S101 S211 377 N S101->3_234->S7->S211
1430.4000 M53 5000000 2 1271.4000 S59 S119 378 N S59->3_234->S119
1477.0000 M329 5000000 2 490.0000 S134 S9 391 N S134->7_275->S9
1545.8000 M107 5000000 5 1224.8000 S0 S133 379 N S0->S34->7_275->S161->4_246->S133
1550.7000 M17 5000000 4 1499.7000 S118 S99 375 N S118->4_244->S161->2_225->S99
1606.2000 M165 5000000 2 1111.2000 S88 S104 381 N S88->9_305->S104
1679.4000 M24 5000000 4 1607.4000 S136 S20 373 N S136->2_225->S7->S211->S20
1733.8000 M460 5000000 2 353.8000 S103 S199 394 N S103->4_246->S199
1738.8000 M202 5000000 3 1132.8000 S133 S199 381 N S133->S103->4_246->S199
1783.6000 M229 5000000 4 1096.6000 S7 S5 381 N S7->S211->S20->9_305->S5
1821.1000 M150 5000000 2 1371.1000 S81 S47 377 N S81->7_276->S47
1905.3000 M128 5000000 2 1521.3000 S202 S151 374 N S202->2_224->S151
1909.0000 M504 5000000 2 397.0000 S126 S184 393 N S126->3_234->S184
1944.1000 M251 5000000 3 1191.1000 S121 S76 380 N S121->3_234->4_246->S76
1957.9000 M131 5000000 4 1564.9000 S178 S16 373 N S178->3_235->S94->7_275->S16
2006.2000 M443 5000000 3 677.2000 S189 S23 388 N S189->S172->3_234->S23
2015.6000 M140 5000000 2 1595.6000 S65 S3 373 N S65->7_275->S3
2024.4000 M357 5000000 3 953.4000 S26 S118 384 N S26->S45->4_245->S118
2045.0000 M88 5000000 2 1781.0000 S32 S114 370 N S32->2_226->S114
2083.4000 M275 5000000 2 1258.4000 S14 S134 379 N S14->2_224->S134
2097.3000 M446 5000000 3 759.3000 S180 S25 387 N S180->S110->4_246->S25
2099.0000 M698 5000000 1 5.0000 S48 S120 399 N S48->S120
2107.8000 M27 5000000 2 2026.8000 S71 S81 366 N S71->7_275->S81
2151.5000 M21 5000000 2 2088.5000 S83 S56 365 N S83->7_275->S56
2176.0000 M556 5000000 2 508.0000 S61 S28 391 N S61->4_245->S28
2205.0000 M86 5000000 6 1947.0000 S163 S137 367 N S163->S82->7_275->4_246->S14->2_224->S137
2208.8000 M71 5000000 5 1995.8000 S45 S2 366 N S45->S26->4_246->S31->2_227->S2
2234.7000 M272 5000000 2 1418.7000 S163 S96 376 N S163->9_305->S96
2235.6000 M204 5000000 5 1623.6000 S97 S170 372 N S97->6T_260->S84->9_306->7_276->S170
2240.6000 M33 5000000 2 2141.6000 S67 S170 364 N S67->7_276->S170
2244.9000 M379 5000000 2 1107.9000 S111 S62 381 N S111->4_246->S62
2249.9000 M260 5000000 3 1469.9000 S180 S62 375 N S180->S110->4_246->S62
2251.2000 M438 5000000 2 937.2000 S150 S42 384 N S150->3_236->S42
2269.0000 M76 5000000 4 2041.0000 S58 S173 365 N S58->3_234->S104->6T_260->S173
2272.0000 M448 5000000 2 928.0000 S161 S156 384 N S161->2_227->S156
2303.0000 M179 5000000 2 1766.0000 S112 S75 370 N S112->9_305->S75
2307.8000 M196 5000000 2 1719.8000 S40 S168 371 N S40->7_275->S168
2308.0000 M311 5000000 2 1375.0000 S1 S97 377 N S1->9_305->S97
2308.4000 M606 5000000 2 490.4000 S135 S29 391 N S135->6T_260->S29
2312.8000 M68 5000000 3 2108.8000 S96 S168 364 N S96->S83->7_275->S168
2333.4000 M390 5000000 2 1163.4000 S41 S158 380 N S41->9_306->S158
2375.7000 M93 5000000 4 2096.7000 S42 S152 365 N S42->S59->9_306->7_276->S152
2422.2000 M67 5000000 2 2221.2000 S183 S161 362 N S183->7_276->S161
2422.8000 M95 5000000 8 2137.8000 S137 S185 364 N S137->2_225->S134->7_275->S9->3_235->9_305->S129->S185
2504.1000 M69 5000000 6 2297.1000 S190 S93 361 N S190->S137->2_225->S132->7_277->S5->S93
2508.7000 M168 5000000 4 2004.7000 S127 S197 366 N S127->4_245->S161->2_227->S197
2512.9000 M786 5000000 2 154.9000 S148 S83 397 N S148->9_308->S83
2513.3000 M362 5000000 3 1427.3000 S44 S198 376 N S44->4_247->3_234->S198
2534.5000 M435 5000000 3 1229.5000 S176 S100 379 N S176->S150->3_236->S100
2534.9000 M488 5000000 2 1070.9000 S22 S18 382 N S22->3_235->S18
2594.4000 M479 5000000 2 1157.4000 S85 S51 380 N S85->3_234->S51
2611.1000 M32 5000000 2 2515.1000 S81 S117 358 N S81->7_276->S117
2624.3000 M361 5000000 2 1541.3000 S112 S55 374 N S112->7_277->S55
2632.5000 M81 5000000 2 2389.5000 S107 S150 360 N S107->3_235->S150
2634.0000 M417 5000000 2 1383.0000 S158 S47 376 N S158->9_307->S47
2634.4000 M41 5000000 5 2511.4000 S77 S15 358 N S77->S202->2_224->S134->4_247->S15
2637.5000 M297 5000000 3 1746.5000 S89 S150 370 N S89->S22->3_235->S150
2639.0000 M183 5000000 5 2090.0000 S5 S20 365 N S5->S93->3_236->S207->S211->S20
2639.4000 M249 5000000 4 1892.4000 S168 S15 368 N S168->7_276->S132->4_247->S15
2640.9000 M553 5000000 3 981.9000 S33 S151 383 N S33->S100->7_276->S151
2645.0000 M880 5000000 1 5.0000 S108 S57 399 N S108->S57
2658.4000 M663 5000000 3 669.4000 S210 S17 388 N S210->S21->3_235->S17
2660.7000 M80 5000000 4 2420.7000 S184 S110 359 N S184->3_235->S8->4_245->S110
2677.7000 M384 5000000 3 1525.7000 S77 S102 374 N S77->S202->2_226->S102
2686.7000 M18 5000000 6 2632.7000 S197 S208 356 N S197->S136->2_224->S113->S134->4_247->S208
2703.4000 M267 5000000 3 1902.4000 S17 S51 368 N S17->S157->3_236->S51
