# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 2 416.0000 S157 S164 393 N S157->3_234->S164
840.3000 M88 5000000 2 400.3000 S32 S114 393 N S32->2_224->S114
925.9000 M144 5000000 2 205.9000 S19 S174 396 N S19->4_246->S174
1014.7000 M39 5000000 3 819.7000 S144 S2 386 N S144->S10->2_225->S2
1078.0000 M37 5000000 5 893.0000 S108 S5 385 N S108->S57->4_244->S8->3_234->S5
1253.8000 M143 5000000 4 538.8000 S207 S181 391 N S207->S211->S20->2_224->S181
1306.1000 M69 5000000 5 961.1000 S190 S93 383 N S190->2_225->S151->7_275->S5->S93
1342.0000 M5 5000000 2 1317.0000 S194 S56 378 N S194->7_276->S56
1380.9000 M34 5000000 2 1210.9000 S187 S141 379 N S187->2_225->S141
1487.7000 M99 5000000 4 992.7000 S7 S64 383 N S7->S211->S20->2_224->S64
1642.9000 M25 5000000 5 1517.9000 S187 S26 374 N S187->S151->7_275->S132->4_245->S26
1687.3000 M44 5000000 5 1467.3000 S108 S20 375 N S108->S57->4_244->S161->2_225->S20
1692.3000 M24 5000000 2 1572.3000 S136 S20 373 N S136->2_225->S20
1693.7000 M83 5000000 5 1278.7000 S156 S111 378 N S156->2_225->S116->S30->4_246->S111
1803.6000 M113 5000000 2 1238.6000 S20 S93 379 N S20->9_305->S93
1832.8000 M150 5000000 2 1082.8000 S81 S47 381 N S81->7_276->S47
1905.4000 M128 5000000 2 1265.4000 S202 S151 378 N S202->2_224->S151
1933.4000 M174 5000000 3 1063.4000 S97 S55 382 N S97->S75->9_306->S55
1945.5000 M136 5000000 4 1265.5000 S151 S189 378 N S151->7_275->S117->3_234->S189
1950.5000 M64 5000000 2 1630.5000 S94 S189 372 N S94->3_234->S189
2011.3000 M170 5000000 4 1161.3000 S61 S23 380 N S61->S92->4_246->3_234->S23
2015.7000 M140 5000000 2 1315.7000 S65 S3 378 N S65->7_275->S3
2020.0000 M222 5000000 2 910.0000 S144 S14 384 N S144->2_224->S14
2023.8000 M14 5000000 6 1953.8000 S192 S38 367 N S192->S72->2_224->S74->S181->2_225->S38
2024.4000 M357 5000000 2 239.4000 S26 S118 396 N S26->4_245->S118
2075.8000 M228 5000000 3 935.8000 S148 S151 384 N S148->S97->7_277->S151
2102.2000 M27 5000000 2 1967.2000 S71 S81 367 N S71->7_275->S81
2151.2000 M21 5000000 3 2046.2000 S83 S56 365 N S83->S96->7_275->S56
2166.9000 M80 5000000 5 1766.9000 S184 S110 370 N S184->3_235->S123->S127->4_247->S110
2168.9000 M250 5000000 3 918.9000 S30 S161 384 N S30->S141->2_224->S161
2206.2000 M58 5000000 4 1916.2000 S145 S39 368 N S145->9_305->S88->7_275->S39
2210.1000 M312 5000000 2 650.1000 S132 S190 389 N S132->2_224->S190
2234.7000 M272 5000000 6 874.7000 S163 S96 385 N S163->S82->9_306->S59->S42->9_305->S96
2235.6000 M33 5000000 2 2070.6000 S67 S170 365 N S67->7_276->S170
2243.9000 M71 5000000 4 1888.9000 S45 S2 368 N S45->4_246->S113->2_227->S2
2244.1000 M260 5000000 3 944.1000 S180 S62 384 N S180->S110->4_246->S62
2259.1000 M360 5000000 2 459.1000 S155 S132 392 N S155->7_277->S132
2268.0000 M338 5000000 3 578.0000 S187 S93 390 N S187->S151->3_236->S93
2269.0000 M76 5000000 4 1889.0000 S58 S173 368 N S58->3_234->S93->6T_260->S173
2303.0000 M179 5000000 3 1408.0000 S112 S75 376 N S112->7_275->9_305->S75
2306.5000 M245 5000000 3 1081.5000 S19 S132 381 N S19->S118->4_245->S132
2307.9000 M196 5000000 6 1327.9000 S40 S168 377 N S40->S81->7_276->S147->S16->7_275->S168
2312.9000 M68 5000000 2 1972.9000 S96 S168 367 N S96->7_275->S168
2356.2000 M152 5000000 3 1596.2000 S28 S113 373 N S28->S15->4_245->S113
2366.2000 M12 5000000 5 2306.2000 S101 S134 361 N S101->S24->3_234->S8->4_245->S134
2410.8000 M294 5000000 3 940.8000 S163 S175 384 N S163->S82->9_306->S175
2412.1000 M50 5000000 3 2162.1000 S164 S21 363 N S164->3_236->3_235->S21
2422.2000 M67 5000000 2 2087.2000 S183 S161 365 N S183->7_276->S161
2446.4000 M204 5000000 2 1426.4000 S97 S170 376 N S97->7_277->S170
2449.0000 M62 5000000 4 2139.0000 S61 S52 364 N S61->S92->4_246->3_234->S52
2476.8000 M106 5000000 6 1946.8000 S55 S11 367 N S55->S104->3_234->S47->S94->3_235->S11
2481.8000 M56 5000000 3 2201.8000 S33 S204 363 N S33->S100->3_235->S204
2496.3000 M238 5000000 2 1306.3000 S152 S5 378 N S152->7_277->S5
2594.4000 M479 5000000 3 199.4000 S85 S51 396 N S85->S198->3_234->S51
2624.3000 M361 5000000 2 819.3000 S112 S55 386 N S112->7_277->S55
2630.3000 M53 5000000 2 2365.3000 S59 S119 360 N S59->3_236->S119
2632.5000 M192 5000000 3 1672.5000 S123 S150 372 N S123->S127->3_235->S150
2645.3000 M417 5000000 2 560.3000 S158 S47 390 N S158->9_307->S47
2732.7000 M267 5000000 2 1397.7000 S17 S51 376 N S17->3_236->S51
2750.5000 M17 5000000 5 2665.5000 S118 S99 355 N S118->S19->4_246->S161->2_227->S99
2787.3000 M215 5000000 2 1712.3000 S62 S118 371 N S62->4_247->S118
2810.0000 M165 5000000 2 1985.0000 S88 S104 366 N S88->9_307->S104
2848.6000 M185 5000000 2 1923.6000 S115 S52 367 N S115->3_236->S52
2903.7000 M276 5000000 2 1523.7000 S17 S107 374 N S17->3_236->S107
2928.2000 M375 5000000 2 1053.2000 S112 S124 382 N S112->7_277->S124
2938.7000 M460 5000000 2 638.7000 S103 S199 389 N S103->4_245->S199
2943.7000 M202 5000000 3 1933.7000 S133 S199 367 N S133->S103->4_245->S199
2984.1000 M103 5000000 6 2469.1000 S103 S131 358 N S103->S133->4_245->S31->S14->2_227->S131
3030.0000 M445 5000000 2 805.0000 S183 S88 386 N S183->7_277->S88
3095.6000 M307 5000000 3 1560.6000 S192 S187 373 N S192->S72->2_226->S187
3105.3000 M286 5000000 3 1675.3000 S96 S149 372 N S96->S83->7_279->S149
3112.6000 M504 5000000 2 592.6000 S126 S184 390 N S126->3_236->S184
