# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 2 416.0000 S157 S164 193 N S157->3_234->S164
840.3000 M88 5000000 2 400.3000 S32 S114 193 N S32->2_224->S114
925.9000 M144 5000000 2 205.9000 S19 S174 196 N S19->4_246->S174
1014.7000 M39 5000000 3 819.7000 S144 S2 186 N S144->S10->2_225->S2
1078.0000 M37 5000000 5 893.0000 S108 S5 185 N S108->S57->4_244->S8->3_234->S5
1253.8000 M143 5000000 4 538.8000 S207 S181 191 N S207->S211->S20->2_224->S181
1306.1000 M69 5000000 5 961.1000 S190 S93 183 N S190->2_225->S151->7_275->S5->S93
1342.0000 M5 5000000 2 1317.0000 S194 S56 178 N S194->7_276->S56
1380.9000 M34 5000000 2 1210.9000 S187 S141 179 N S187->2_225->S141
1487.7000 M99 5000000 4 992.7000 S7 S64 183 N S7->S211->S20->2_224->S64
1642.9000 M25 5000000 5 1517.9000 S187 S26 174 N S187->S151->7_275->S132->4_245->S26
1687.3000 M44 5000000 5 1467.3000 S108 S20 175 N S108->S57->4_244->S161->2_225->S20
1692.3000 M24 5000000 2 1572.3000 S136 S20 173 N S136->2_225->S20
1693.7000 M83 5000000 5 1278.7000 S156 S111 178 N S156->2_225->S116->S30->4_246->S111
1803.6000 M113 5000000 2 1238.6000 S20 S93 179 N S20->9_305->S93
1832.8000 M150 5000000 2 1082.8000 S81 S47 181 N S81->7_276->S47
1905.4000 M128 5000000 2 1265.4000 S202 S151 178 N S202->2_224->S151
1933.4000 M174 5000000 3 1063.4000 S97 S55 182 N S97->S75->9_306->S55
1945.5000 M136 5000000 4 1265.5000 S151 S189 178 N S151->7_275->S117->3_234->S189
1950.5000 M64 5000000 2 1630.5000 S94 S189 172 N S94->3_234->S189
2011.3000 M170 5000000 4 1161.3000 S61 S23 180 N S61->S92->4_246->3_234->S23
2015.7000 M140 5000000 2 1315.7000 S65 S3 178 N S65->7_275->S3
2020.0000 M222 5000000 2 910.0000 S144 S14 184 N S144->2_224->S14
2023.8000 M14 5000000 6 1953.8000 S192 S38 167 N S192->S72->2_224->S74->S181->2_225->S38
2024.4000 M357 5000000 2 239.4000 S26 S118 196 N S26->4_245->S118
2075.8000 M228 5000000 3 935.8000 S148 S151 184 N S148->S97->7_277->S151
