# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
587.0000 M35 5000000 3 482.0000 S157 S164 391 N S157->S17->3_234->S164
833.4000 M88 5000000 2 569.4000 S32 S114 390 N S32->2_224->S114
892.6000 M286 5000000 2 34.6000 S96 S149 399 N S96->6T_260->S149
908.5000 M189 5000000 3 341.5000 S195 S187 394 N S195->S115->3_234->S187
917.9000 M144 5000000 3 485.9000 S19 S174 391 N S19->S118->4_246->S174
1005.6000 M39 5000000 3 888.6000 S144 S2 385 N S144->S10->2_225->S2
1064.0000 M69 5000000 5 857.0000 S190 S93 385 N S190->S137->2_225->S8->3_234->S93
1072.0000 M37 5000000 5 961.0000 S108 S5 383 N S108->S57->4_244->S8->3_234->S5
1119.5000 M245 5000000 3 384.5000 S19 S132 393 N S19->S118->4_246->S132
1136.4000 M228 5000000 3 452.4000 S148 S151 392 N S148->S97->6T_260->S151
1149.4000 M325 5000000 2 174.4000 S142 S187 397 N S142->6T_260->S187
1152.5000 M152 5000000 2 696.5000 S28 S113 388 N S28->4_246->S113
1182.0000 M54 5000000 4 1020.0000 S8 S183 383 N S8->4_244->S151->7_275->S183
1188.0000 M174 5000000 4 666.0000 S97 S55 388 N S97->7_275->S117->3_234->S55
1240.3000 M12 5000000 4 1204.3000 S101 S134 379 N S101->3_234->S151->4_245->S134
1245.7000 M143 5000000 2 816.7000 S207 S181 386 N S207->2_224->S181
1246.7000 M263 5000000 4 457.7000 S20 S181 392 N S20->S211->S207->2_224->S181
1291.1000 M238 5000000 2 577.1000 S152 S5 390 N S152->7_275->S5
1325.5000 M250 5000000 3 575.5000 S30 S161 390 N S30->S116->4_245->S161
1334.9000 M5 5000000 3 1319.9000 S194 S56 378 N S194->7_276->S201->S56
1344.6000 M338 5000000 3 330.6000 S187 S93 394 N S187->S151->6T_260->S93
1367.9000 M320 5000000 2 407.9000 S187 S108 393 N S187->4_245->S108
1369.3000 M132 5000000 2 973.3000 S32 S136 383 N S32->2_224->S136
1373.9000 M337 5000000 3 362.9000 S197 S141 393 N S197->S136->2_225->S141
1374.9000 M34 5000000 3 1272.9000 S187 S141 378 N S187->S151->2_225->S141
1424.3000 M417 5000000 2 173.3000 S158 S47 397 N S158->9_305->S47
1425.7000 M53 5000000 2 1266.7000 S59 S119 378 N S59->3_234->S119
1461.7000 M153 5000000 2 1002.7000 S51 S124 383 N S51->3_235->S124
1462.8000 M78 5000000 5 1228.8000 S149 S180 379 N S149->S84->7_275->S161->4_246->S180
1472.1000 M329 5000000 3 485.1000 S134 S9 391 N S134->S113->7_275->S9
1500.5000 M220 5000000 2 840.5000 S127 S211 385 N S127->3_235->S211
1501.6000 M99 5000000 3 1204.6000 S7 S64 379 N S7->S207->2_224->S64
1522.6000 M361 5000000 2 439.6000 S112 S55 392 N S112->6T_260->S55
