# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
350.2000 M299 5000000 2 51.2000 S51 S0 399 N S51->4_180->S0
402.4000 M2 5000000 2 400.4000 S78 S15 393 N S78->4_181->S15
413.1000 M17 5000000 3 396.1000 S6 S68 393 N S6->S60->1_89->S68
467.1000 M59 5000000 3 408.1000 S26 S65 393 N S26->S25->2_112->S65
509.7000 M344 5000000 3 165.7000 S70 S35 397 N S70->2_113->S77->S35
542.5000 M331 5000000 3 211.5000 S35 S16 396 N S35->S77->4_180->S16
572.9000 M248 5000000 2 324.9000 S60 S25 394 N S60->3_137->S25
593.7000 M113 5000000 3 480.7000 S4 S43 391 N S4->S31->5_195->S43
614.0000 M613 5000000 1 1.0000 S27 S14 399 N S27->S14
648.8000 M188 5000000 3 460.8000 S45 S46 392 N S45->S0->1_89->S46
649.6000 M515 5000000 2 134.6000 S6 S69 397 N S6->5_196->S69
651.3000 M228 5000000 2 423.3000 S7 S4 392 N S7->3_136->S4
653.0000 M172 5000000 2 481.0000 S18 S74 391 N S18->4_181->S74
690.9000 M393 5000000 2 297.9000 S17 S66 395 N S17->1_90->S66
699.6000 M20 5000000 3 679.6000 S12 S87 388 N S12->S61->2_113->S87
708.1000 M382 5000000 3 326.1000 S40 S79 394 N S40->S73->3_137->S79
753.0000 M751 5000000 2 2.0000 S78 S61 399 N S78->S12->S61
763.1000 M84 5000000 2 679.1000 S73 S86 388 N S73->2_112->S86
766.6000 M282 5000000 2 484.6000 S7 S42 391 N S7->3_136->S42
772.9000 M102 5000000 2 670.9000 S36 S54 388 N S36->1_90->S54
826.5000 M14 5000000 4 812.5000 S51 S28 386 N S51->S70->3_137->1_89->S28
827.1000 M358 5000000 2 469.1000 S70 S63 392 N S70->2_113->S63
879.4000 M48 5000000 2 831.4000 S16 S33 386 N S16->2_113->S33
883.6000 M15 5000000 2 868.6000 S59 S84 385 N S59->4_182->S84
889.1000 M162 5000000 2 727.1000 S36 S76 387 N S36->1_90->S76
895.0000 M893 5000000 2 2.0000 S3 S35 399 N S3->S77->S35
895.4000 M390 5000000 2 505.4000 S46 S50 391 N S46->1_89->S50
946.7000 M101 5000000 2 845.7000 S0 S57 385 N S0->2_113->S57
954.3000 M307 5000000 2 647.3000 S68 S5 389 N S68->1_89->S5
1000.0000 M318 5000000 2 682.0000 S33 S63 388 N S33->2_114->S63
1005.6000 M446 5000000 2 559.6000 S74 S59 390 N S74->4_181->S59
1009.6000 M480 5000000 3 529.6000 S40 S22 391 N S40->3_137->5_196->S22
1012.3000 M452 5000000 2 560.3000 S41 S2 390 N S41->4_182->S2
1065.8000 M375 5000000 2 690.8000 S73 S88 388 N S73->3_137->S88
1067.7000 M778 5000000 2 289.7000 S79 S69 395 N S79->5_195->S69
1081.0000 M1080 5000000 1 1.0000 S51 S70 399 N S51->S70
1105.0000 M9 5000000 4 1096.0000 S40 S43 381 N S40->S73->3_137->5_196->S43
1106.0000 M385 5000000 3 721.0000 S12 S43 387 N S12->3_137->5_196->S43
1107.0000 M325 5000000 2 782.0000 S29 S43 386 N S29->5_196->S43
1117.3000 M32 5000000 3 1085.3000 S45 S18 381 N S45->S0->2_113->S18
1126.8000 M207 5000000 4 919.8000 S56 S87 384 N S56->4_181->S62->2_114->S87
1132.1000 M35 5000000 2 1097.1000 S25 S38 381 N S25->3_137->S38
1143.2000 M332 5000000 2 811.2000 S6 S70 386 N S6->1_92->S70
1144.2000 M975 5000000 2 169.2000 S6 S70 397 N S6->1_92->S70
1188.4000 M660 5000000 2 528.4000 S50 S55 391 N S50->1_91->S55
1189.4000 M657 5000000 4 532.4000 S46 S55 391 N S46->1_89->S28->1_91->S55
1191.4000 M343 5000000 4 848.4000 S25 S6 385 N S25->3_137->S79->5_195->S6
1191.5000 M430 5000000 3 761.5000 S81 S60 387 N S81->5_195->S1->S60
1192.2000 M496 5000000 2 696.2000 S2 S18 388 N S2->4_182->S18
1192.4000 M254 5000000 2 938.4000 S9 S6 384 N S9->5_195->S6
1193.2000 M24 5000000 2 1169.2000 S74 S18 380 N S74->4_182->S18
1193.4000 M108 5000000 2 1085.4000 S83 S6 381 N S83->5_195->S6
1193.6000 M200 5000000 3 993.6000 S61 S9 383 N S61->3_137->5_196->S9
1194.4000 M533 5000000 2 661.4000 S22 S6 388 N S22->5_195->S6
1196.4000 M111 5000000 2 1085.4000 S83 S60 381 N S83->5_195->S60
1238.5000 M388 5000000 3 850.5000 S40 S49 385 N S40->S73->3_137->S49
1239.5000 M208 5000000 3 1031.5000 S6 S49 382 N S6->S60->3_137->S49
1268.0000 M1267 5000000 1 1.0000 S51 S70 399 N S51->S70
1292.9000 M774 5000000 2 518.9000 S81 S29 391 N S81->5_195->S29
1296.0000 M66 5000000 5 1230.0000 S72 S4 379 N S72->S12->4_180->S1->5_196->S4
1297.0000 M740 5000000 4 557.0000 S22 S4 390 N S22->5_195->S82->5_196->S4
1298.0000 M283 5000000 2 1015.0000 S82 S4 383 N S82->5_196->S4
