# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
44.0000 M43 5000000 1 1.0000 S3 S1 399 N S3->S1
153.0000 M152 5000000 1 1.0000 S9 S6 399 N S9->S6
415.0000 M234 5000000 2 181.0000 S30 S25 396 N S30->A_62->S25
536.0000 M426 5000000 2 110.0000 S37 S36 398 N S37->B_94->S36
589.7000 M261 5000000 2 328.7000 S30 S22 394 N S30->A_62->S22
652.7000 M201 5000000 2 451.7000 S33 S20 392 N S33->C_125->S20
653.7000 M71 5000000 2 582.7000 S24 S20 390 N S24->C_125->S20
770.5000 M90 5000000 2 680.5000 S26 S12 388 N S26->C_124->S12
773.4000 M517 5000000 2 256.4000 S20 S16 395 N S20->C_125->S16
890.8000 M622 5000000 2 268.8000 S34 S27 395 N S34->B_94->S27
895.0000 M196 5000000 2 699.0000 S40 S52 388 N S40->B_93->S52
895.6000 M486 5000000 2 409.6000 S50 S54 393 N S50->A_61->S54
896.0000 M68 5000000 2 828.0000 S39 S52 386 N S39->B_93->S52
896.6000 M144 5000000 2 752.6000 S43 S54 387 N S43->A_61->S54
897.6000 M120 5000000 2 777.6000 S44 S54 387 N S44->A_61->S54
956.3000 M392 5000000 2 564.3000 S16 S11 390 N S16->C_125->S11
956.4000 M173 5000000 2 783.4000 S23 S4 386 N S23->C_124->S4
960.1000 M959 5000000 1 1.1000 S1 S3 399 N S1->S3
971.1000 M135 5000000 2 836.1000 S30 S3 386 N S30->A_62->S3
972.1000 M739 5000000 2 233.1000 S7 S3 396 N S7->A_62->S3
973.1000 M375 5000000 2 598.1000 S13 S3 390 N S13->A_62->S3
1009.2000 M100 5000000 2 909.2000 S53 S58 384 N S53->A_61->S58
1010.2000 M240 5000000 2 770.2000 S49 S58 387 N S49->A_61->S58
1011.2000 M328 5000000 2 683.2000 S49 S58 388 N S49->A_61->S58
1014.6000 M382 5000000 2 632.6000 S27 S21 389 N S27->B_94->S21
1015.6000 M294 5000000 2 721.6000 S34 S21 387 N S34->B_94->S21
1017.5000 M288 5000000 2 729.5000 S28 S8 387 N S28->C_125->S8
1018.5000 M441 5000000 2 577.5000 S11 S8 390 N S11->C_125->S8
1032.3000 M533 5000000 2 499.3000 S54 S57 391 N S54->A_61->S57
1033.3000 M405 5000000 2 628.3000 S53 S57 389 N S53->A_61->S57
1034.3000 M400 5000000 2 634.3000 S53 S57 389 N S53->A_61->S57
1064.3000 M625 5000000 2 439.3000 S13 S57 392 N S13->A_62->S57
1070.0000 M675 5000000 2 395.0000 S10 S60 393 N S10->C_124->S60
1073.8000 M45 5000000 2 1028.8000 S51 S55 382 N S51->B_93->S55
1074.8000 M451 5000000 2 623.8000 S51 S55 389 N S51->B_93->S55
1083.4000 M728 5000000 2 355.4000 S18 S58 394 N S18->A_62->S58
1084.4000 M74 5000000 2 1010.4000 S22 S58 383 N S22->A_62->S58
1085.4000 M360 5000000 2 725.4000 S1 S58 387 N S1->A_62->S58
1128.0000 M249 5000000 2 879.0000 S58 S3 385 N S58->A_61->S3
1129.0000 M516 5000000 2 613.0000 S53 S1 389 N S53->A_61->S1
1133.5000 M239 5000000 2 894.5000 S36 S19 385 N S36->B_94->S19
1133.8000 M354 5000000 2 779.8000 S11 S9 387 N S11->C_125->S9
1134.5000 M600 5000000 2 534.5000 S21 S19 391 N S21->B_94->S19
1134.8000 M55 5000000 2 1079.8000 S24 S9 382 N S24->C_125->S9
1135.5000 M766 5000000 2 369.5000 S29 S19 393 N S29->B_94->S19
1135.8000 M73 5000000 2 1062.8000 S24 S9 382 N S24->C_125->S9
