# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
591.0000 M35 5000000 2 416.0000 S157 S164 193 N S157->3_234->S164
840.3000 M88 5000000 2 400.3000 S32 S114 193 N S32->2_224->S114
925.9000 M144 5000000 2 205.9000 S19 S174 196 N S19->4_246->S174
1014.7000 M39 5000000 3 819.7000 S144 S2 186 N S144->S10->2_225->S2
1156.5000 M152 5000000 3 396.5000 S28 S113 193 N S28->S15->4_246->S113
1253.9000 M143 5000000 4 538.9000 S207 S181 191 N S207->S211->S20->2_224->S181
1297.3000 M37 5000000 5 1112.3000 S108 S5 181 N S108->S57->4_244->S132->7_275->S5
1342.0000 M5 5000000 2 1317.0000 S194 S56 178 N S194->7_276->S56
1380.9000 M34 5000000 3 1210.9000 S187 S141 179 N S187->S151->2_225->S141
1470.9000 M78 5000000 4 1080.9000 S149 S180 181 N S149->6T_260->S151->4_246->S180
1487.7000 M99 5000000 4 992.7000 S7 S64 183 N S7->S211->S20->2_224->S64
1596.7000 M228 5000000 3 456.7000 S148 S151 192 N S148->S75->9_306->S151
1606.6000 M165 5000000 2 781.6000 S88 S104 186 N S88->9_305->S104
1647.9000 M25 5000000 2 1522.9000 S187 S26 174 N S187->4_245->S26
1687.3000 M44 5000000 5 1467.3000 S108 S20 175 N S108->S57->4_244->S161->2_225->S20
1692.3000 M24 5000000 2 1572.3000 S136 S20 173 N S136->2_225->S20
1783.6000 M229 5000000 4 638.6000 S7 S5 189 N S7->S211->S20->9_305->S5
1795.5000 M53 5000000 2 1530.5000 S59 S119 174 N S59->6T_260->S119
1798.8000 M153 5000000 4 1033.8000 S51 S124 182 N S51->3_235->S90->7_276->S124
1803.8000 M113 5000000 2 1238.8000 S20 S93 179 N S20->9_305->S93
1832.8000 M150 5000000 2 1082.8000 S81 S47 181 N S81->7_276->S47
1887.3000 M75 5000000 5 1512.3000 S105 S72 174 N S105->9_305->S211->S20->2_225->S72
1905.4000 M128 5000000 2 1265.4000 S202 S151 178 N S202->2_224->S151
1945.5000 M136 5000000 4 1265.5000 S151 S189 178 N S151->7_275->S117->3_234->S189
1950.5000 M64 5000000 2 1630.5000 S94 S189 172 N S94->3_234->S189
2015.7000 M140 5000000 2 1315.7000 S65 S3 178 N S65->7_275->S3
2023.8000 M14 5000000 3 1953.8000 S192 S38 167 N S192->S114->2_225->S38
2024.4000 M357 5000000 2 239.4000 S26 S118 196 N S26->4_245->S118
2025.0000 M222 5000000 2 915.0000 S144 S14 184 N S144->2_224->S14
2066.6000 M345 5000000 2 341.6000 S5 S82 194 N S5->9_305->S82
