# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
406.4000 M2 5000000 2 396.4000 S78 S15 193 N S78->4_181->S15
703.7000 M20 5000000 2 603.7000 S12 S87 189 N S12->2_113->S87
777.2000 M102 5000000 2 267.2000 S36 S54 195 N S36->1_90->S54
830.3000 M14 5000000 2 760.3000 S51 S28 187 N S51->1_89->S28
883.4000 M48 5000000 2 643.4000 S16 S33 189 N S16->2_113->S33
887.6000 M15 5000000 2 812.6000 S59 S84 186 N S59->4_182->S84
974.0000 M68 5000000 2 634.0000 S54 S19 189 N S54->1_90->S19
979.2000 M76 5000000 2 599.2000 S81 S14 190 N S81->5_195->S14
1013.0000 M46 5000000 2 783.0000 S14 S22 186 N S14->5_196->S22
1108.9000 M118 5000000 2 518.9000 S27 S43 191 N S27->5_196->S43
1121.4000 M32 5000000 2 961.4000 S45 S18 183 N S45->2_113->S18
1136.1000 M35 5000000 2 961.1000 S25 S38 183 N S25->3_137->S38
1196.2000 M24 5000000 2 1076.2000 S74 S18 182 N S74->4_183->S18
1270.2000 M99 5000000 2 775.2000 S87 S67 187 N S87->2_114->S67
1300.6000 M135 5000000 2 625.6000 S43 S4 189 N S43->5_196->S4
1344.1000 M58 5000000 2 1054.1000 S18 S3 182 N S18->2_114->S3
1375.4000 M95 5000000 2 900.4000 S2 S15 184 N S2->4_183->S15
1424.4000 M156 5000000 2 644.4000 S16 S45 189 N S16->2_114->S45
1429.4000 M119 5000000 2 834.4000 S87 S0 186 N S87->2_114->S0
1434.4000 M139 5000000 2 739.4000 S33 S45 187 N S33->2_114->S45
1495.2000 M71 5000000 2 1140.2000 S48 S47 180 N S48->5_196->S47
1498.4000 M55 5000000 2 1223.4000 S68 S45 179 N S68->1_91->S45
1505.0000 M81 5000000 2 1100.0000 S63 S51 181 N S63->2_114->S51
1551.1000 M166 5000000 2 721.1000 S43 S24 187 N S43->5_196->S24
1612.5000 M188 5000000 2 672.5000 S45 S46 188 N S45->1_92->S46
1618.7000 M28 5000000 2 1478.7000 S87 S1 175 N S87->2_114->S1
1651.5000 M103 5000000 2 1136.5000 S32 S60 181 N S32->4_180->S60
1665.9000 M232 5000000 2 505.9000 S65 S40 191 N S65->2_112->S40
1671.5000 M177 5000000 2 786.5000 S80 S1 186 N S80->4_180->S1
1675.9000 M179 5000000 2 780.9000 S86 S73 186 N S86->2_112->S73
1729.0000 M173 5000000 2 864.0000 S49 S79 185 N S49->3_138->S79
1742.7000 M197 5000000 2 757.7000 S45 S78 187 N S45->2_114->S78
