# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
350.3000 M299 1000000 2 51.3000 S51 S0 399 N S51->4_180->S0
401.0000 M2 1000000 2 399.0000 S78 S15 393 N S78->4_181->S15
412.3000 M17 1000000 3 395.3000 S6 S68 393 N S6->S60->1_89->S68
466.4000 M59 1000000 2 407.4000 S26 S65 393 N S26->2_112->S65
504.5000 M344 1000000 3 160.5000 S70 S35 397 N S70->2_113->S77->S35
535.6000 M331 1000000 4 204.6000 S35 S16 396 N S35->S77->S3->4_180->S16
556.4000 M248 1000000 3 308.4000 S60 S25 394 N S60->3_137->S26->S25
593.1000 M113 1000000 3 480.1000 S4 S43 391 N S4->S31->5_195->S43
613.2000 M613 1000000 1 0.2000 S27 S14 399 N S27->S14
648.1000 M188 1000000 3 460.1000 S45 S46 392 N S45->S0->1_89->S46
649.3000 M515 1000000 2 134.3000 S6 S69 397 N S6->5_196->S69
650.5000 M228 1000000 2 422.5000 S7 S4 392 N S7->3_136->S4
651.9000 M172 1000000 2 479.9000 S18 S74 392 N S18->4_181->S74
656.3000 M193 1000000 2 463.3000 S64 S31 392 N S64->3_136->S31
689.3000 M393 1000000 2 296.3000 S17 S66 395 N S17->1_90->S66
699.2000 M20 1000000 3 679.2000 S12 S87 388 N S12->S61->2_113->S87
707.4000 M382 1000000 3 325.4000 S40 S79 394 N S40->S73->3_137->S79
751.5000 M751 1000000 2 0.5000 S78 S61 399 N S78->S72->S61
761.6000 M84 1000000 2 677.6000 S73 S86 388 N S73->2_112->S86
765.8000 M282 1000000 2 483.8000 S7 S42 391 N S7->3_136->S42
766.7000 M366 1000000 2 400.7000 S69 S27 393 N S69->5_196->S27
771.7000 M102 1000000 2 669.7000 S36 S54 388 N S36->1_90->S54
825.8000 M14 1000000 4 811.8000 S51 S28 386 N S51->S70->3_137->1_89->S28
826.6000 M358 1000000 2 468.6000 S70 S63 392 N S70->2_113->S63
831.1000 M477 1000000 2 354.1000 S37 S32 394 N S37->4_180->S32
879.8000 M48 1000000 3 831.8000 S16 S33 386 N S16->S67->2_113->S33
882.8000 M15 1000000 2 867.8000 S59 S84 385 N S59->4_182->S84
888.1000 M162 1000000 2 726.1000 S36 S76 387 N S36->1_90->S76
893.4000 M893 1000000 2 0.4000 S3 S35 399 N S3->S77->S35
894.3000 M390 1000000 2 504.3000 S46 S50 391 N S46->1_89->S50
944.6000 M101 1000000 2 843.6000 S0 S57 385 N S0->2_113->S57
944.8000 M493 1000000 2 451.8000 S63 S57 392 N S63->2_113->S57
948.3000 M469 1000000 4 479.3000 S60 S10 392 N S60->S1->5_196->3_137->S10
953.5000 M307 1000000 2 646.5000 S68 S5 389 N S68->1_89->S5
954.4000 M170 1000000 2 784.4000 S24 S14 386 N S24->5_195->S14
954.6000 M76 1000000 2 878.6000 S81 S14 385 N S81->5_195->S14
970.3000 M589 1000000 2 381.3000 S54 S19 393 N S54->1_90->S19
970.5000 M68 1000000 2 902.5000 S54 S19 384 N S54->1_90->S19
998.9000 M318 1000000 2 680.9000 S33 S63 388 N S33->2_114->S63
1004.5000 M446 1000000 2 558.5000 S74 S59 390 N S74->4_181->S59
1008.2000 M603 1000000 2 405.2000 S39 S22 393 N S39->5_196->S22
1008.4000 M371 1000000 2 637.4000 S27 S22 389 N S27->5_196->S22
